Age,Tenure,MonthlyCharges,SupportCalls,ContractType,InternetService,PaymentMethod,Churn
20,49,107.72,0,Monthly,DSL,Credit Card,Yes
18,20,59.24,5,Monthly,DSL,Bank Transfer,Yes
22,48,101.66,1,Yearly,DSL,Electronic Check,Yes
43,25,63.91,2,Monthly,DSL,Credit Card,Yes
31,22,57.69,0,Monthly,DSL,Electronic Check,Yes
56,13,66.27,8,Yearly,Fiber,Electronic Check,Yes
44,59,50.14,7,Monthly,Fiber,Bank Transfer,Yes
26,19,94.76,1,Yearly,Fiber,Bank Transfer,Yes
32,49,70.27,7,Two-Year,DSL,Electronic Check,Yes
32,36,43.22,8,Two-Year,Fiber,Credit Card,Yes
43,12,109.96,0,Monthly,DSL,Electronic Check,No
59,41,58.39,4,Two-Year,None,Credit Card,Yes
30,19,74.36,7,Monthly,DSL,Credit Card,Yes
68,12,110.65,1,Monthly,Fiber,Bank Transfer,Yes
49,9,82.42,3,Yearly,None,Credit Card,Yes
56,7,31.69,6,Monthly,Fiber,Credit Card,Yes
66,28,113.98,2,Monthly,Fiber,Electronic Check,Yes
69,14,82.77,4,Yearly,Fiber,Bank Transfer,Yes
49,31,53.49,7,Monthly,None,Credit Card,Yes
21,52,33.93,2,Monthly,Fiber,Credit Card,No
47,19,99.4,3,Monthly,Fiber,Bank Transfer,Yes
54,58,82.01,8,Yearly,Fiber,Electronic Check,Yes
40,47,73.35,6,Yearly,Fiber,Bank Transfer,Yes
56,16,109.39,0,Monthly,Fiber,Bank Transfer,Yes
62,53,98.86,3,Monthly,Fiber,Credit Card,Yes
32,5,35.17,3,Monthly,DSL,Credit Card,Yes
60,35,51.17,8,Monthly,DSL,Electronic Check,Yes
46,12,44.85,5,Yearly,DSL,Credit Card,Yes
53,25,94.39,8,Monthly,DSL,Credit Card,Yes
30,52,23.35,5,Monthly,DSL,Bank Transfer,Yes
49,59,76.99,5,Yearly,Fiber,Credit Card,Yes
24,21,96.25,4,Yearly,DSL,Electronic Check,Yes
68,36,107.68,4,Yearly,Fiber,Bank Transfer,Yes
39,53,54.21,1,Monthly,DSL,Electronic Check,No
45,23,102.13,7,Monthly,DSL,Bank Transfer,Yes
19,16,31.06,7,Monthly,Fiber,Credit Card,Yes
59,57,104.65,0,Monthly,Fiber,Bank Transfer,Yes
62,39,32.75,7,Yearly,DSL,Bank Transfer,Yes
23,45,59.73,4,Two-Year,None,Credit Card,Yes
45,53,99.73,1,Yearly,None,Credit Card,No
45,42,34.99,1,Yearly,DSL,Electronic Check,Yes
61,58,42.93,5,Monthly,DSL,Electronic Check,No
61,39,92.23,8,Yearly,None,Credit Card,Yes
37,14,92.0,0,Monthly,Fiber,Credit Card,Yes
47,31,84.11,5,Yearly,Fiber,Credit Card,Yes
28,58,89.39,8,Monthly,Fiber,Bank Transfer,Yes
45,5,74.27,7,Monthly,DSL,Bank Transfer,Yes
42,35,45.18,5,Monthly,Fiber,Bank Transfer,No
56,23,54.57,2,Two-Year,DSL,Credit Card,Yes
50,29,38.16,7,Monthly,Fiber,Electronic Check,Yes
18,43,110.85,8,Monthly,Fiber,Credit Card,Yes
44,11,78.34,0,Monthly,Fiber,Bank Transfer,Yes
69,18,60.09,8,Yearly,DSL,Bank Transfer,Yes
30,47,66.2,5,Yearly,DSL,Credit Card,No
58,12,114.73,5,Yearly,Fiber,Credit Card,Yes
20,9,35.34,3,Monthly,Fiber,Bank Transfer,Yes
56,10,78.62,0,Yearly,Fiber,Bank Transfer,Yes
23,58,70.59,7,Monthly,DSL,Bank Transfer,No
25,44,81.15,1,Two-Year,None,Credit Card,Yes
44,17,21.81,0,Yearly,DSL,Bank Transfer,No
26,38,107.21,1,Monthly,None,Bank Transfer,Yes
54,7,113.21,0,Monthly,DSL,Electronic Check,Yes
50,46,76.51,0,Monthly,Fiber,Credit Card,Yes
68,13,89.67,8,Monthly,DSL,Electronic Check,Yes
59,40,112.25,0,Monthly,None,Electronic Check,Yes
61,42,90.72,3,Yearly,Fiber,Bank Transfer,No
41,9,35.25,5,Monthly,DSL,Credit Card,Yes
32,50,77.63,6,Monthly,DSL,Bank Transfer,Yes
49,27,80.67,1,Monthly,DSL,Credit Card,Yes
49,58,62.41,5,Monthly,DSL,Electronic Check,Yes
41,2,93.64,6,Two-Year,None,Credit Card,No
58,5,113.44,1,Monthly,Fiber,Bank Transfer,Yes
69,29,112.56,1,Yearly,Fiber,Bank Transfer,Yes
66,37,65.08,6,Two-Year,Fiber,Bank Transfer,Yes
66,38,31.32,0,Yearly,Fiber,Credit Card,No
69,19,118.48,7,Two-Year,DSL,Electronic Check,No
29,8,103.89,2,Monthly,DSL,Electronic Check,Yes
56,48,32.47,5,Two-Year,Fiber,Credit Card,No
19,45,112.08,8,Monthly,None,Bank Transfer,Yes
20,1,106.99,5,Monthly,DSL,Electronic Check,Yes
66,22,71.88,8,Yearly,DSL,Bank Transfer,Yes
54,52,79.13,6,Two-Year,Fiber,Credit Card,Yes
66,17,59.9,8,Two-Year,None,Bank Transfer,Yes
34,7,25.48,1,Monthly,DSL,Electronic Check,No
66,25,53.52,7,Monthly,Fiber,Electronic Check,Yes
19,45,100.29,7,Two-Year,None,Bank Transfer,Yes
19,4,20.46,1,Monthly,DSL,Credit Card,No
45,36,53.35,3,Yearly,DSL,Bank Transfer,Yes
40,6,59.82,6,Two-Year,Fiber,Credit Card,Yes
54,60,73.74,3,Monthly,None,Bank Transfer,Yes
49,31,111.99,3,Monthly,DSL,Electronic Check,Yes
50,19,54.63,5,Monthly,Fiber,Credit Card,Yes
18,44,54.7,5,Monthly,Fiber,Credit Card,No
36,54,93.75,2,Two-Year,Fiber,Credit Card,Yes
19,39,65.22,8,Monthly,Fiber,Electronic Check,Yes
61,27,42.46,1,Two-Year,Fiber,Bank Transfer,Yes
43,10,65.24,5,Monthly,Fiber,Electronic Check,Yes
49,26,34.09,6,Two-Year,Fiber,Credit Card,Yes
23,19,37.64,8,Monthly,Fiber,Bank Transfer,Yes
49,39,69.84,2,Monthly,Fiber,Electronic Check,Yes
21,3,61.89,2,Monthly,None,Credit Card,Yes
28,45,111.48,6,Yearly,DSL,Credit Card,Yes
34,13,56.24,3,Yearly,Fiber,Electronic Check,No
55,50,78.06,7,Two-Year,Fiber,Electronic Check,Yes
41,28,83.23,6,Monthly,DSL,Electronic Check,Yes
22,58,21.31,4,Monthly,Fiber,Credit Card,Yes
69,20,86.35,6,Yearly,Fiber,Electronic Check,Yes
51,28,37.8,2,Monthly,DSL,Credit Card,Yes
23,8,116.11,1,Monthly,DSL,Electronic Check,Yes
39,41,34.87,5,Two-Year,DSL,Credit Card,Yes
28,39,61.46,1,Two-Year,DSL,Credit Card,No
65,1,28.53,2,Two-Year,Fiber,Bank Transfer,No
33,3,119.69,5,Yearly,DSL,Electronic Check,Yes
50,13,70.22,4,Monthly,Fiber,Electronic Check,Yes
26,28,79.54,7,Monthly,Fiber,Credit Card,Yes
23,57,26.71,8,Yearly,None,Credit Card,Yes
33,60,95.0,2,Two-Year,Fiber,Credit Card,Yes
46,49,40.99,2,Monthly,DSL,Bank Transfer,Yes
20,25,109.81,2,Monthly,Fiber,Bank Transfer,Yes
37,56,40.51,5,Monthly,DSL,Credit Card,Yes
53,33,39.07,0,Yearly,Fiber,Electronic Check,No
36,38,23.65,6,Two-Year,None,Electronic Check,Yes
43,53,67.21,0,Yearly,DSL,Bank Transfer,No
20,6,76.48,4,Monthly,DSL,Bank Transfer,Yes
36,58,26.57,7,Two-Year,Fiber,Credit Card,Yes
37,44,97.55,3,Yearly,None,Electronic Check,Yes
49,45,65.33,4,Monthly,Fiber,Credit Card,Yes
24,32,72.44,3,Monthly,DSL,Bank Transfer,Yes
69,45,64.08,3,Monthly,Fiber,Electronic Check,Yes
58,47,60.08,7,Monthly,DSL,Electronic Check,Yes
50,21,75.96,1,Two-Year,Fiber,Bank Transfer,Yes
57,16,35.52,0,Monthly,None,Credit Card,Yes
56,54,38.19,2,Two-Year,Fiber,Credit Card,No
35,21,106.18,8,Monthly,None,Electronic Check,Yes
57,11,114.61,3,Monthly,DSL,Bank Transfer,Yes
18,60,57.33,4,Monthly,Fiber,Electronic Check,No
28,37,47.07,1,Monthly,Fiber,Bank Transfer,No
45,36,84.4,3,Monthly,DSL,Credit Card,Yes
42,35,60.87,1,Two-Year,None,Bank Transfer,No
67,19,22.54,1,Yearly,DSL,Credit Card,No
40,20,35.62,3,Yearly,Fiber,Bank Transfer,No
48,57,91.6,5,Monthly,Fiber,Electronic Check,Yes
47,18,85.89,6,Monthly,Fiber,Credit Card,Yes
59,47,22.71,2,Monthly,DSL,Electronic Check,Yes
52,41,42.2,2,Yearly,Fiber,Electronic Check,No
24,49,43.11,5,Monthly,Fiber,Credit Card,Yes
33,14,87.19,2,Monthly,None,Credit Card,Yes
43,15,21.97,1,Yearly,Fiber,Electronic Check,No
65,31,30.41,7,Monthly,DSL,Electronic Check,Yes
69,1,99.99,4,Monthly,Fiber,Electronic Check,Yes
66,53,37.85,0,Monthly,Fiber,Electronic Check,No
19,54,85.27,2,Two-Year,Fiber,Credit Card,Yes
18,54,43.82,7,Yearly,Fiber,Credit Card,Yes
65,3,29.94,3,Monthly,None,Electronic Check,No
29,16,44.32,6,Monthly,Fiber,Bank Transfer,Yes
22,23,92.23,1,Two-Year,Fiber,Bank Transfer,Yes
54,57,105.57,6,Yearly,DSL,Credit Card,Yes
49,11,103.02,4,Monthly,DSL,Electronic Check,Yes
26,12,59.72,4,Two-Year,DSL,Electronic Check,Yes
58,10,86.81,5,Monthly,DSL,Credit Card,Yes
52,32,40.5,8,Yearly,Fiber,Bank Transfer,Yes
36,16,49.31,5,Yearly,Fiber,Bank Transfer,Yes
65,8,109.63,7,Monthly,Fiber,Bank Transfer,Yes
33,38,21.3,6,Two-Year,Fiber,Credit Card,No
20,12,28.55,8,Yearly,None,Bank Transfer,No
37,24,40.79,3,Yearly,Fiber,Credit Card,Yes
41,28,22.65,1,Monthly,Fiber,Credit Card,No
50,53,38.14,6,Monthly,Fiber,Electronic Check,Yes
41,8,78.3,5,Monthly,Fiber,Bank Transfer,Yes
69,58,62.14,0,Yearly,DSL,Credit Card,Yes
28,28,109.27,8,Monthly,DSL,Bank Transfer,Yes
66,36,101.74,8,Yearly,None,Bank Transfer,Yes
25,26,54.18,1,Yearly,Fiber,Electronic Check,Yes
53,8,45.94,2,Monthly,DSL,Bank Transfer,Yes
55,58,57.97,4,Yearly,Fiber,Electronic Check,Yes
57,60,79.03,4,Monthly,Fiber,Credit Card,Yes
37,50,46.81,0,Two-Year,DSL,Bank Transfer,No
52,28,82.41,7,Monthly,DSL,Credit Card,Yes
65,28,60.94,7,Monthly,None,Bank Transfer,Yes
42,37,75.2,3,Monthly,Fiber,Credit Card,Yes
52,41,63.61,6,Monthly,DSL,Bank Transfer,Yes
42,36,49.45,2,Yearly,Fiber,Bank Transfer,Yes
46,27,114.85,5,Yearly,None,Bank Transfer,Yes
35,54,96.36,8,Yearly,Fiber,Bank Transfer,Yes
63,17,34.01,0,Monthly,DSL,Bank Transfer,Yes
35,9,106.85,4,Monthly,DSL,Bank Transfer,Yes
19,33,68.74,3,Monthly,Fiber,Bank Transfer,Yes
52,53,109.46,7,Yearly,Fiber,Bank Transfer,Yes
33,20,99.99,0,Two-Year,Fiber,Bank Transfer,Yes
58,13,62.52,8,Monthly,DSL,Credit Card,Yes
53,28,22.25,5,Monthly,None,Electronic Check,Yes
50,48,46.87,3,Yearly,DSL,Bank Transfer,Yes
21,29,74.16,8,Two-Year,DSL,Electronic Check,No
50,13,83.35,4,Yearly,DSL,Bank Transfer,Yes
31,46,45.79,4,Two-Year,DSL,Bank Transfer,Yes
38,35,33.94,4,Monthly,Fiber,Credit Card,Yes
65,6,103.49,0,Monthly,Fiber,Credit Card,Yes
37,18,118.44,0,Two-Year,DSL,Electronic Check,No
25,51,72.57,7,Yearly,Fiber,Credit Card,Yes
24,5,37.17,7,Monthly,DSL,Credit Card,Yes
20,47,47.23,5,Yearly,Fiber,Electronic Check,No
34,25,21.84,3,Two-Year,None,Credit Card,No
50,2,111.43,1,Yearly,DSL,Bank Transfer,Yes
65,10,31.78,1,Yearly,Fiber,Electronic Check,Yes
29,56,77.65,8,Monthly,DSL,Electronic Check,Yes
68,30,47.41,4,Yearly,DSL,Bank Transfer,Yes
39,50,75.42,3,Yearly,DSL,Credit Card,Yes
39,59,85.14,0,Two-Year,Fiber,Electronic Check,No
63,45,102.97,6,Two-Year,Fiber,Electronic Check,Yes
47,5,40.64,2,Two-Year,DSL,Bank Transfer,No
55,55,21.1,5,Monthly,Fiber,Bank Transfer,Yes
55,56,33.69,4,Yearly,Fiber,Credit Card,Yes
62,33,110.0,4,Yearly,Fiber,Electronic Check,Yes
68,54,107.39,4,Yearly,Fiber,Credit Card,Yes
25,1,79.74,0,Yearly,Fiber,Credit Card,No
44,18,80.05,0,Two-Year,DSL,Bank Transfer,Yes
44,32,86.5,2,Monthly,DSL,Electronic Check,Yes
51,47,37.54,3,Yearly,None,Electronic Check,Yes
38,49,111.44,4,Monthly,DSL,Electronic Check,Yes
47,11,61.88,1,Monthly,None,Bank Transfer,Yes
50,21,58.31,7,Yearly,Fiber,Bank Transfer,Yes
45,26,71.89,1,Yearly,DSL,Bank Transfer,No
64,25,24.7,8,Monthly,DSL,Bank Transfer,Yes
50,22,36.63,1,Monthly,DSL,Bank Transfer,Yes
22,59,93.8,8,Yearly,None,Electronic Check,Yes
65,27,28.28,6,Monthly,Fiber,Credit Card,Yes
36,49,80.32,7,Monthly,DSL,Electronic Check,Yes
21,13,44.53,1,Monthly,DSL,Credit Card,Yes
52,33,58.93,6,Monthly,DSL,Bank Transfer,Yes
66,34,48.87,5,Monthly,Fiber,Credit Card,Yes
34,41,55.57,3,Monthly,DSL,Electronic Check,Yes
61,35,91.9,6,Monthly,Fiber,Electronic Check,Yes
45,1,49.71,3,Two-Year,DSL,Credit Card,Yes
47,21,76.64,1,Yearly,DSL,Bank Transfer,Yes
46,48,67.61,6,Yearly,Fiber,Bank Transfer,Yes
63,55,86.37,7,Monthly,Fiber,Electronic Check,Yes
23,6,113.68,1,Monthly,None,Credit Card,Yes
52,28,93.26,4,Yearly,Fiber,Bank Transfer,Yes
58,17,41.49,0,Monthly,DSL,Bank Transfer,No
54,5,23.12,6,Monthly,Fiber,Electronic Check,Yes
41,31,46.23,7,Yearly,DSL,Bank Transfer,Yes
46,5,79.51,5,Yearly,DSL,Credit Card,Yes
66,38,25.14,4,Monthly,None,Electronic Check,No
63,3,69.64,5,Monthly,Fiber,Electronic Check,Yes
48,53,79.68,1,Yearly,None,Credit Card,Yes
52,23,53.42,0,Monthly,Fiber,Electronic Check,No
50,37,97.09,6,Yearly,Fiber,Bank Transfer,Yes
69,53,30.66,6,Yearly,DSL,Bank Transfer,No
38,37,27.51,1,Two-Year,DSL,Credit Card,No
49,10,92.82,1,Monthly,Fiber,Bank Transfer,Yes
40,10,69.55,0,Two-Year,DSL,Credit Card,Yes
50,19,88.84,7,Yearly,Fiber,Credit Card,Yes
20,17,63.48,7,Monthly,Fiber,Bank Transfer,Yes
35,21,44.64,0,Monthly,DSL,Credit Card,No
42,14,101.91,7,Yearly,Fiber,Bank Transfer,Yes
59,9,99.94,8,Monthly,Fiber,Electronic Check,Yes
48,46,89.47,3,Monthly,DSL,Electronic Check,Yes
20,1,47.21,0,Monthly,Fiber,Credit Card,Yes
57,51,79.02,0,Two-Year,Fiber,Bank Transfer,No
63,45,56.1,2,Yearly,DSL,Bank Transfer,Yes
41,13,29.16,4,Yearly,Fiber,Electronic Check,No
67,4,111.73,4,Monthly,None,Electronic Check,Yes
49,1,33.68,8,Monthly,DSL,Bank Transfer,Yes
64,49,115.02,1,Yearly,Fiber,Credit Card,Yes
39,40,64.6,1,Monthly,DSL,Electronic Check,Yes
40,32,38.51,5,Monthly,Fiber,Credit Card,Yes
19,34,74.19,8,Yearly,Fiber,Credit Card,Yes
44,28,107.29,0,Two-Year,DSL,Electronic Check,Yes
59,31,93.22,8,Yearly,DSL,Credit Card,Yes
19,8,100.66,8,Yearly,Fiber,Credit Card,Yes
43,39,85.88,8,Two-Year,Fiber,Bank Transfer,Yes
34,26,89.23,4,Monthly,Fiber,Credit Card,Yes
57,58,104.92,8,Yearly,DSL,Bank Transfer,Yes
50,34,44.97,3,Two-Year,None,Electronic Check,Yes
26,54,68.94,1,Monthly,Fiber,Electronic Check,No
60,54,42.12,5,Yearly,None,Bank Transfer,No
65,3,118.77,3,Yearly,DSL,Electronic Check,Yes
56,59,114.41,5,Yearly,Fiber,Credit Card,Yes
46,50,23.94,2,Yearly,Fiber,Credit Card,No
59,12,90.56,5,Two-Year,DSL,Credit Card,Yes
43,1,112.52,1,Yearly,Fiber,Electronic Check,Yes
52,54,38.06,1,Monthly,DSL,Credit Card,No
67,44,76.79,8,Two-Year,Fiber,Electronic Check,Yes
42,5,111.55,6,Monthly,Fiber,Credit Card,Yes
41,30,23.39,2,Monthly,DSL,Bank Transfer,Yes
30,30,89.74,0,Monthly,Fiber,Electronic Check,No
24,59,49.73,7,Monthly,Fiber,Electronic Check,Yes
53,57,112.44,5,Monthly,DSL,Credit Card,Yes
62,17,117.11,6,Two-Year,None,Electronic Check,Yes
37,48,114.43,8,Yearly,None,Electronic Check,Yes
18,47,67.42,4,Yearly,Fiber,Bank Transfer,Yes
25,23,106.2,0,Monthly,DSL,Bank Transfer,Yes
63,15,104.45,6,Two-Year,Fiber,Credit Card,Yes
33,37,51.91,4,Two-Year,Fiber,Bank Transfer,Yes
31,21,102.89,2,Yearly,DSL,Credit Card,Yes
29,14,23.7,8,Monthly,Fiber,Credit Card,Yes
68,2,79.63,0,Monthly,Fiber,Credit Card,Yes
40,11,43.0,0,Monthly,Fiber,Electronic Check,Yes
32,51,32.06,0,Monthly,Fiber,Bank Transfer,Yes
45,39,27.7,2,Monthly,Fiber,Credit Card,Yes
51,38,89.63,5,Two-Year,None,Bank Transfer,Yes
19,60,53.99,2,Monthly,DSL,Credit Card,No
49,34,92.48,7,Monthly,Fiber,Bank Transfer,Yes
40,38,26.54,1,Monthly,None,Bank Transfer,Yes
39,50,51.53,8,Monthly,Fiber,Credit Card,Yes
68,34,73.95,2,Monthly,Fiber,Electronic Check,Yes
42,18,99.07,4,Monthly,Fiber,Bank Transfer,Yes
39,30,51.88,7,Monthly,Fiber,Electronic Check,Yes
39,15,82.59,1,Yearly,Fiber,Electronic Check,Yes
66,27,108.6,5,Two-Year,Fiber,Credit Card,Yes
69,51,81.59,4,Monthly,None,Credit Card,Yes
59,34,43.3,8,Monthly,DSL,Credit Card,Yes
23,52,22.44,4,Two-Year,DSL,Bank Transfer,No
32,57,107.01,1,Monthly,Fiber,Credit Card,No
60,38,22.13,4,Monthly,DSL,Credit Card,Yes
54,33,107.47,3,Two-Year,DSL,Bank Transfer,Yes
50,24,72.89,6,Monthly,DSL,Bank Transfer,Yes
25,15,113.91,5,Yearly,DSL,Credit Card,Yes
61,60,99.88,1,Yearly,DSL,Credit Card,Yes
61,30,119.79,4,Monthly,None,Credit Card,Yes
22,55,55.07,6,Monthly,DSL,Credit Card,Yes
